SHAPE_ID,MBTA_ROUTE,MBTA_VARIA,MBTA_ROU_1,CTPS_ROUTE,CTPS_ROU_1,DIRECTION,ROUTE_DESC,TRIP_HEADS,CTPS_ROU_2,SHAPE_LEN,SEQUENCE,LATITUDE,LONGITUDE
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,41,42.3532355827744,-71.0483523032723
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,42,42.3531303737105,-71.0484368924862
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,43,42.3531705550898,-71.0485227585566
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,44,42.3531765745089,-71.0485356168661
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,45,42.354321882347,-71.0507990651354
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,46,42.3543871782016,-71.0509425451759
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,47,42.3544925120904,-71.0510766815682
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,48,42.3546027085129,-71.0512364814188
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,49,42.3547556529997,-71.0514082151166
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,50,42.3548572303672,-71.0515363628253
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,51,42.3550052511606,-71.0517234584489
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,52,42.3551360652684,-71.0518892978577
040007,"   04",1,"   04_1",4,4,0,Route 04_1 outbound,North Station,4100,3957.294852,53,42.3551534246444,-71.0519271783084
