STOP_ID,STOP_NAME,TOWN,TOWN_ID,ROUTE,SEQUENCE,LATITUDE,LONGITUDE
86971,Moody St  @ Carter St,WALTHAM,308,505,51,42.3726495210051,-71.2366741678047
7811,River St @  Ripley St,WALTHAM,308,558,70,42.3726763367102,-71.2268052346553
7849,River St @ Ripley St,WALTHAM,308,558,24,42.3727771092054,-71.2270049208405
2855,Park St @ Warren St,BOSTON,35,194,40,42.373192303974,-71.0608100785807
7848,River St @ Newton St,WALTHAM,308,558,23,42.3733725303475,-71.2281846624115
7812,River St @  Newton St,WALTHAM,308,558,71,42.3734314735874,-71.2282830217578
2835,Warren St @ Winthrop St,BOSTON,35,92,18,42.3735821622678,-71.0615484293181
2827,Main St @ Harvard St,BOSTON,35,92,9,42.3736920761173,-71.0627145781681
12858,Chelsea St @ Constitution Rd,BOSTON,35,194,52,42.373762787047,-71.0582952694032
89339,59 South St,WALTHAM,308,553,92,42.3737938658265,-71.249965720029
5736,Meridian St @ Liverpool St,BOSTON,35,117,32,42.3740791152344,-71.0390730749873
76051,64 South St,WALTHAM,308,553,7,42.37412032981,-71.2500192527911
78471,River St @ Jackson St,WALTHAM,308,558,22,42.3741560519447,-71.2312973167985
2854,Adams St @ Lowney Way,BOSTON,35,194,39,42.3743668539583,-71.0581869936006
86944,Carter St @ Waltham Comm Rail Sta,WALTHAM,308,553,85,42.3745424398081,-71.2357309645367
88333,Carter St opp Commuter Rail Station,WALTHAM,308,505,4,42.3746066956859,-71.2353641144884
12826,Main St @ Union St,BOSTON,35,92,8,42.3746286591369,-71.0637709123885
2836,Warren St @ Church St,BOSTON,35,92,19,42.3750638806248,-71.0636328247226
76052,South St @ Russell St,WALTHAM,308,553,8,42.3755019473987,-71.2500390263542
12838,Chelsea St @ Fifth St,BOSTON,35,194,53,42.3756338090511,-71.0558345252477
86970,Moody St @ Main St.,WALTHAM,308,505,1,42.3757483983059,-71.2369509711187
86970,Moody St @ Main St.,WALTHAM,308,505,52,42.3757493983059,-71.2369509711187
88339,South St @ Weston St,WALTHAM,308,553,91,42.375758669185,-71.2500291030973
2853,Bunker Hill St @ Lowney Way,BOSTON,35,194,38,42.3758520400214,-71.056252212241
86942,702 Main St,WALTHAM,308,553,13,42.3761622485258,-71.2381893415376
88334,691 Main St,WALTHAM,308,553,86,42.3761696168449,-71.237813210764
86941,Main St @ Daniels Ct,WALTHAM,308,553,12,42.3761899783137,-71.2401840635035
18335,Main St @ Grant St,WALTHAM,308,553,88,42.3762460962381,-71.2416486912736
86940,Main St @ Harvard St,WALTHAM,308,553,11,42.376253486612,-71.2441162393579
88336,Main St @ Fiske St,WALTHAM,308,553,89,42.3762561177508,-71.2437112431362
86939,Main St @ Prospect St,WALTHAM,308,553,10,42.3762723222898,-71.2463713023014
88337,Main St @ Hammond St,WALTHAM,308,553,90,42.3762757120893,-71.246572807742
86938,Main St @ Wellington St,WALTHAM,308,553,9,42.3762895782965,-71.2479936870635
2825,Main St @ W School St,BOSTON,35,92,7,42.3764341438617,-71.0656655482404
2837,Main St @ School St,BOSTON,35,92,20,42.3766502434535,-71.0659568511521
